,weight,strata,utl_exp_ppp17,hsize,age,owner,water,toilet,sewer,elect,num_adult_female,num_adult_male,num_elderly,share_secondary,sfworkershh,any_nonagric,region1,region2,region3,region4,region5,region6,region7,urban,cons_ppp17,water_source_Piped water into dwelling,water_source_Piped water to yard/plot,water_source_Protected dug well,water_source_Protected spring,water_source_Public tap or standpipe,water_source_Surface water,water_source_Tanker-truck,sanitation_source_A septic tank,sanitation_source_No facilities or bush or field,sanitation_source_Other,sanitation_source_Pit latrine,sanitation_source_Pit latrine with slab,dweltyp_Improvised housing unit,dweltyp_Other,dweltyp_Separate apartment,dweltyp_Several buildings connected,educ_max_Complete Secondary Education,educ_max_Complete Tertiary Education,educ_max_Incomplete Primary Education,educ_max_Incomplete Secondary Education,educ_max_Incomplete Tertiary Education,educ_max_Never attended,"sector1d_Agriculture, hunting and forestry",sector1d_Construction,sector1d_Education,"sector1d_Electricity, gas and water supply",sector1d_Financial intermediation,sector1d_Fishing,sector1d_Health and social work,sector1d_Hotels and restaurants,sector1d_Manufacturing,sector1d_Mining and quarrying,"sector1d_Other community, social and personal service activities",sector1d_Public administration and defence,"sector1d_Real estate, renting and business activities","sector1d_Transport, storage and communications",sector1d_Wholesale and retail trade,total_food_consumption,mean_num_children,mean_employeed_adults
10,444,6,270.36652,6,48,0,0,0,1,0,1,3,0,0.0,0.66666669,1,0,0,0,0,1,0,0,1,5.1902699,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,2,1.75
11,148,6,47.314137,2,51,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,1,7.001019,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,2.0
12,74,6,40.554974,1,86,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0,0,1,4.0385227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,2.0
13,74,6,304.16232,1,53,0,0,0,0,0,1,0,0,0.0,0.0,1,0,0,0,0,1,0,0,1,14.221982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15.0,0,2.0
14,370,6,297.40314,5,50,0,0,0,0,0,1,2,0,0.33333334,0.66666669,1,0,0,0,0,1,0,0,1,5.8240838,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.0,2,2.0
15,148,6,40.554974,2,63,0,0,0,0,0,0,2,0,0.5,0.0,1,0,0,0,0,1,0,0,1,6.9727116,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,2.0
16,324,7,27.03665,4,46,0,1,1,1,0,1,1,0,0.0,0.0,1,0,0,0,0,1,0,0,1,4.9550481,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,2,2.5
17,243,7,297.40314,3,53,0,0,0,0,0,0,1,1,0.0,0.0,1,0,0,0,0,1,0,0,1,5.03794,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,1,2.5
18,324,7,283.88483,4,30,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,1,3.1429381,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,2,2.0
19,243,7,47.314137,3,58,0,0,0,0,0,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,1,2.3634825,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,2.0
20,324,7,121.66492,4,39,0,0,0,0,0,1,1,0,0.0,0.33333334,1,0,0,0,0,1,0,0,1,5.5342522,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,2,2.5
21,81,7,20.277487,1,93,0,0,1,1,0,0,0,1,0.0,0.0,0,0,0,0,0,1,0,0,1,1.712684,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.0,0,2.0
22,729,7,47.314137,9,59,0,0,0,0,0,2,4,0,0.33333334,0.0,1,0,0,0,0,1,0,0,1,3.907902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,3,1.83333331
23,567,7,263.60733,7,32,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,1,2.0084631,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,5,2.5
24,462,7,60.832462,6,42,0,0,0,1,0,1,1,0,0.5,0.0,0,0,0,0,0,1,0,0,1,1.661756,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.0,4,2.0
25,385,7,40.554974,5,70,0,0,0,0,0,3,0,1,0.25,0.0,0,0,0,0,0,1,0,0,1,2.2414513,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,1,1.75
26,539,7,67.591629,7,40,0,0,0,0,0,1,1,0,0.0,0.25,0,0,0,0,0,1,0,0,1,1.9539326,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,5,3.0
27,385,7,331.19897,5,49,0,0,0,1,0,1,1,0,0.0,0.33333334,0,0,0,0,0,1,0,0,1,3.9682348,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,3,2.5
28,154,7,148.70157,2,79,0,0,0,0,0,0,0,2,0.0,0.0,1,0,0,0,0,1,0,0,1,5.0325685,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,2.0
29,231,7,33.795815,3,73,0,0,0,0,0,1,0,2,0.0,0.0,0,0,0,0,0,1,0,0,1,1.3184257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,1.66666669
30,154,7,297.40314,2,33,0,0,0,1,0,0,1,1,0.0,0.0,0,0,0,0,0,1,0,0,1,4.3168521,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,2.0
31,228,8,0.0,3,64,0,0,0,1,0,1,2,0,0.0,0.0,0,0,0,0,0,1,0,0,1,2.7008178,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,1.66666669
32,304,8,0.0,4,43,0,0,0,1,0,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,1,3.5076756,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,2,2.0
33,532,8,0.0,7,51,0,0,0,1,0,1,3,0,0.0,0.25,0,0,0,0,0,1,0,0,1,3.0301588,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,3,2.0
34,532,8,0.0,7,37,0,1,0,1,0,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,1,4.2489738,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,5,2.5
35,228,8,182.49739,3,24,1,0,0,1,0,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,1,3.3964312,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,1,2.0
36,532,8,0.0,7,40,1,0,0,1,0,1,2,0,0.0,0.0,1,0,0,0,0,1,0,0,1,2.5257342,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,4,2.6666666
37,228,8,0.0,3,69,0,0,1,1,0,1,2,0,0.0,0.0,0,0,0,0,0,1,0,0,1,4.9347048,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,0,2.0
38,222,8,182.49739,3,46,0,0,0,0,0,2,0,0,0.0,0.5,0,0,0,0,0,1,0,0,1,9.1467724,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,1,2.0
39,666,8,168.97906,9,49,0,0,0,0,0,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,1,4.1246858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,7,2.0
40,296,8,47.314137,4,26,1,0,1,1,0,1,1,0,0.5,0.5,0,0,0,0,0,1,0,0,1,4.3548541,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,2,2.0
41,370,8,40.554974,5,52,0,0,0,1,0,1,1,1,0.0,0.0,0,0,0,0,0,1,0,0,1,5.1075201,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,2,2.6666666
42,148,8,40.554974,2,78,0,0,0,1,0,0,0,2,0.0,0.0,0,0,0,0,0,1,0,0,1,5.6439285,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,2.0
43,74,8,47.314137,1,55,0,1,1,1,0,1,0,0,0.0,0.0,0,0,0,0,0,1,0,0,1,7.5241199,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0,0,2.0
44,222,8,0.0,3,95,0,0,0,0,0,1,0,1,0.0,0.0,1,0,0,0,0,1,0,0,1,1.7504894,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,1,0.5
45,405,8,33.795815,5,59,0,1,0,1,0,1,2,0,0.0,0.33333334,0,0,0,0,0,1,0,0,1,4.4237523,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0,2,2.0
46,243,8,351.47644,3,23,0,1,0,1,0,1,1,0,0.0,0.5,1,0,0,0,0,1,0,0,1,5.5018363,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,1,2.0
47,324,8,182.49739,4,38,0,1,0,1,0,1,2,0,0.0,0.0,0,0,0,0,0,1,0,0,1,9.0110388,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,1,2.0
48,567,8,0.0,7,43,0,1,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,1,2.7534482,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,5,2.5
49,486,8,20.277487,6,42,0,1,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,1,0,0,1,3.0819702,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,4,2.0
50,107,4,236.57069,1,28,1,0,0,0,0,1,0,0,0.0,1.0,1,0,0,1,0,0,0,0,0,23.65263,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20.0,0,2.0
51,428,4,412.30893,4,66,0,0,0,0,0,2,2,0,0.0,0.33333334,1,0,0,1,0,0,0,0,0,6.2759867,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17.0,0,1.75
52,535,4,527.21466,5,55,0,0,0,0,0,2,2,0,0.5,0.33333334,1,0,0,1,0,0,0,0,0,7.6317554,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26.0,1,1.75
53,214,4,324.43979,2,33,1,0,0,0,0,1,1,0,0.5,0.5,1,0,0,1,0,0,0,0,0,16.354858,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.0,0,2.0
54,272,4,74.350784,2,59,1,0,0,0,0,1,1,0,0.0,0.0,0,0,0,1,0,0,0,0,0,6.9904208,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,0,2.0
55,408,4,337.95813,3,49,0,1,0,1,0,1,1,0,0.5,0.0,0,0,0,1,0,0,0,0,0,7.2192254,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,1,0.0
56,408,4,392.03143,3,36,1,0,1,1,0,1,1,0,1.0,0.5,0,0,0,1,0,0,0,0,0,12.60689,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,1,2.0
57,544,4,331.19897,4,42,0,0,0,0,0,1,1,0,1.0,0.0,0,0,0,1,0,0,0,0,0,8.5842152,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0,2,2.0
58,272,4,189.25655,2,83,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,1,0,0,0,0,0,4.8560987,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,2.0
59,780,4,405.54974,4,35,0,0,0,0,0,1,1,0,0.0,0.0,1,0,0,1,0,0,0,0,0,5.4946871,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,2,0.5
60,390,4,385.27228,2,68,0,0,0,0,0,1,1,0,0.0,0.0,1,0,0,1,0,0,0,0,0,10.576861,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,0.5
61,585,4,392.03143,3,33,0,0,0,0,0,1,1,0,0.0,0.5,1,0,0,1,0,0,0,0,0,11.407044,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,1,2.0
62,975,4,162.21989,5,46,1,0,0,1,0,1,1,0,0.0,0.0,0,0,0,1,0,0,0,0,0,1.1096499,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,3,2.5
63,905,4,0.0,5,48,1,0,0,0,0,2,1,0,0.66666669,0.5,1,0,0,1,0,0,0,0,0,3.1579881,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,19.0,2,1.66666669
64,543,4,331.19897,3,84,0,0,0,0,0,0,2,1,0.0,0.0,1,0,0,1,0,0,0,0,0,7.3024378,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,0.66666669
65,1267,4,594.80627,7,46,1,0,0,0,0,1,1,0,0.0,0.0,1,0,0,1,0,0,0,0,0,5.7835302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.0,5,1.5
66,181,4,446.10474,1,76,0,0,0,0,0,0,0,1,0.0,0.0,0,0,0,1,0,0,0,0,0,6.9174237,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,0,0.0
67,484,6,6.7591624,4,33,0,0,0,1,1,1,1,0,0.5,0.0,0,0,0,0,0,0,1,0,1,2.4027605,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,2,2.0
68,726,6,0.0,6,38,0,0,0,1,1,0,1,0,0.0,1.0,1,0,0,0,0,0,1,0,1,6.100296,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,22.0,5,2.0
69,242,6,60.832462,2,65,1,0,0,1,1,0,1,1,0.0,0.0,0,0,0,0,0,0,1,0,1,2.8680143,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,2.0
70,484,6,0.0,4,32,0,0,0,1,1,1,1,0,0.5,0.0,0,0,0,0,0,0,1,0,1,2.7171679,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,2,2.0
71,1089,6,0.0,9,45,0,0,0,1,1,2,2,0,0.25,0.33333334,1,0,0,0,0,0,1,0,1,5.0673146,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20.0,5,2.5
72,968,6,0.0,8,42,0,0,1,1,1,1,1,0,0.5,0.0,0,0,0,0,0,0,1,0,1,1.9388225,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,6,3.0
73,1210,6,60.832462,10,49,0,0,0,1,1,1,2,0,0.33333334,0.0,1,0,0,0,0,0,1,0,1,3.1002641,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23.0,7,2.6666666
74,605,6,74.350784,5,36,0,0,0,1,1,1,1,0,0.5,0.5,1,0,0,0,0,0,1,0,1,6.2393799,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,15.0,3,2.0
75,256,6,581.28796,2,80,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0,1,0,1,4.5163207,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,0,1.5
76,384,6,189.25655,3,62,0,0,0,0,0,1,2,0,0.33333334,0.0,1,0,0,0,0,0,1,0,1,7.5196085,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,0,2.0
77,512,6,331.19897,4,62,0,0,0,0,0,1,1,0,0.0,0.0,1,0,0,0,0,0,1,0,1,8.6117573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18.0,2,2.0
78,256,6,229.81152,2,73,0,0,1,1,0,1,0,1,0.0,0.0,0,0,0,0,0,0,1,0,1,5.6326027,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0,0,1.5
79,256,6,121.66492,2,81,0,0,0,0,0,0,0,2,0.0,0.0,0,0,0,0,0,0,1,0,1,18.378147,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,0,0.0
80,640,6,317.68063,5,70,1,0,0,0,0,3,0,1,0.25,0.0,0,0,0,0,0,0,1,0,1,4.8052168,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,1,1.75
81,504,7,655.63879,4,65,0,0,0,1,0,2,1,0,0.0,0.5,1,0,0,0,0,0,1,0,1,10.835482,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0,1,1.66666669
82,252,7,155.46074,2,40,0,0,1,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1,0,1,9.8555975,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0,1,2.0
83,504,7,209.53404,4,36,0,1,1,1,0,1,1,0,0.5,0.33333334,0,0,0,0,0,0,1,0,1,4.9613895,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0,2,2.5
84,126,7,40.554974,1,69,0,0,0,1,0,0,1,0,0.0,0.0,0,0,0,0,0,0,1,0,1,8.8582363,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,2.0
85,504,7,290.64398,4,25,1,0,1,1,0,1,1,0,0.0,0.0,0,0,0,0,0,0,1,0,1,4.2575712,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0,2,2.0
